Syllable,Start Time,End Time ,Total Duration,Class
/o/,0,0.193,0.193,0
/ka/,0.193,0.68,0.487,0
/U/,0.68,0.97,0.29,0
/ri/,0.97,1.182,0.212,0
/lO/,1.182,1.578,0.396,0
/o/,1.578,1.949,0.371,0
/ka/,1.949,2.204,0.255,0
/brAH/,2.204,2.8,0.596,0
/ma/,2.832,3.04,0.208,0
/Nu/,3.04,3.18,0.14,0
/du/,3.18,3.854,0.674,0
/un/,3.854,4.086,0.232,0
/de/,4.086,4.435,0.349,0
/vA/,4.435,4.76,0.325,0
/du/,4.76,5.06,0.3,0
/a/,5.22,5.388,0.168,0
/thA/,5.411,5.597,0.186,0
/du/,5.597,5.876,0.279,0
/chA/,6.131,6.433,0.302,0
/IA/,6.433,6.805,0.372,0
/kha/,7.084,7.316,0.232,0
/stA/,7.386,7.618,0.232,0
/lu/,7.618,7.874,0.256,0
/ye/,7.851,8.083,0.232,0
/du/,8.083,8.199,0.116,0
/ru/,8.199,8.362,0.163,0
/ku/,8.3854,8.66,0.2746,0
/nna/,8.664,8.91,0.246,0
/du/,8.919,9.175,0.256,0
