Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.055,0.265,0.21,0
/ka/,0.2446,0.643,0.3984,0
/U/,0.727,1.083,0.356,0
/ri/,1.083,1.272,0.189,0
/lO/,1.272,1.608,0.336,0
/o/,1.818,2.028,0.21,0
/ka/,2.028,2.384,0.356,0
/brAH/,2.405,2.678,0.273,0
/ma/,2.678,2.909,0.231,0
/Nu/,2.93,3.077,0.147,0
/du/,3.077,3.287,0.21,0
/un/,3.475,3.706,0.231,0
/de/,3.748,4.084,0.336,0
/vA/,4.063,4.357,0.294,0
/du/,4.357,4.734,0.377,0
/a/,5.28,5.532,0.252,0
/thA/,5.532,5.804,0.272,0
/du/,5.804,6.182,0.378,0
/chA/,6.266,6.644,0.378,0
/IA/,6.644,6.979,0.335,0
/kha/,7.21,7.441,0.231,0
/stA/,7.378,7.861,0.483,0
/lu/,7.84,8.238,0.398,0
/ye/,8.343,8.574,0.231,0
/du/,8.574,8.763,0.189,0
/ru/,8.784,8.91,0.126,0
/ku/,8.91,9.161,0.251,0
/nna/,9.161,9.392,0.231,0
/du/,9.392,9.77,0.378,0
