Syllable,Start Time,End Time ,Total Duration,Class
/o/,1.78,2.222,0.442,0
/ka/,2.222,2.751,0.529,0
/U/,2.869,3.339,0.47,0
/ri/,3.31,3.633,0.323,0
/lO/,3.633,4.132,0.499,0
/o/,4.22,4.514,0.294,0
/ka/,4.514,5.19,0.676,0
/brAH/,5.161,5.542,0.381,0
/ma/,5.542,5.866,0.324,0
/Nu/,5.866,6.101,0.235,0
/du/,6.101,6.453,0.352,0
/un/,6.688,7.041,0.353,0
/de/,7.041,7.305,0.264,0
/vA/,7.305,7.599,0.294,0
/du/,7.599,8.099,0.5,0
/a/,8.392,8.833,0.441,0
/thA/,8.833,9.215,0.382,0
/du/,9.215,9.715,0.5,0
/chA/,9.832,10.361,0.529,0
/IA/,10.361,10.772,0.411,0
/kha/,10.772,11.125,0.353,0
/stA/,11.125,11.448,0.323,0
/lu/,11.683,11.918,0.235,0
/ye/,12.212,12.478,0.266,0
/du/,12.478,12.711,0.233,0
/ru/,12.711,12.917,0.206,0
/ku/,12.888,13.211,0.323,0
/nna/,13.211,13.446,0.235,0
/du/,13.446,13.769,0.323,0
