Syllable,Start Time,End Time ,Total Duration,Class
/o/,2.253,2.665,0.412,0
/ka/,2.665,3.076,0.411,0
/U/,3.385,3.831,0.446,0
/ri/,3.866,4.243,0.377,0
/lO/,4.243,4.758,0.515,0
/o/,4.998,5.273,0.275,0
/ka/,5.273,5.787,0.514,0
/brAH/,6.062,6.508,0.446,0
/ma/,6.542,6.783,0.241,0
/Nu/,6.817,7.126,0.309,0
/du/,7.126,7.606,0.48,0
/un/,8.052,8.43,0.378,0
/de/,8.43,8.739,0.309,0
/vA/,8.739,9.151,0.412,0
/du/,9.151,9.734,0.583,0
/a/,10.111,10.455,0.344,0
/thA/,10.489,10.832,0.343,0
/du/,10.832,11.587,0.755,0
/chA/,11.759,12.273,0.514,0
/IA/,12.273,12.823,0.55,0
/kha/,12.857,13.269,0.412,0
/stA/,13.303,13.715,0.412,0
/lu/,13.715,14.23,0.515,0
/ye/,14.47,14.813,0.343,0
/du/,14.813,15.019,0.206,0
/ru/,14.985,15.259,0.274,0
/ku/,15.225,15.534,0.309,0
/nna/,15.534,15.945,0.411,0
/du/,15.945,16.426,0.481,0
