Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.074904,0.181571,0.106667,0
/ka/,0.413457,0.622154,0.208697,0
/U/,1.772307,1.99028,0.217973,5
/ri/,1.981374,2.131645,0.150271,0
/lO/,2.441026,2.55397,0.112944,0
/o/,3.251971,3.432766,0.180795,5
/ka/,3.493032,3.929954,0.436922,0
/brAH/,5.316052,5.662577,0.346525,5
/ma/,5.662577,5.858439,0.195862,0
/Nu/,5.888571,6.114566,0.225995,0
/du/,6.295361,6.626819,0.331458,0
/un/,7.892387,8.299177,0.40679,5
/de/,8.299177,8.540238,0.241061,0
/vA/,8.555304,8.796365,0.241061,0
/du/,8.811431,9.022359,0.210928,0
/a/,10.010486,10.296745,0.286259,5
/thA/,10.387143,10.658336,0.271193,0
/du/,10.658336,10.989794,0.331458,0
/chA/,11.863639,12.315628,0.451989,5
/IA/,12.315628,12.571755,0.256127,0
/kha/,13.731859,13.927721,0.195862,0
/stA/,13.942787,14.319444,0.376657,0
/lu/,14.349577,14.681035,0.331458,0
/ye/,16.197051,16.438111,0.24106,5
/du/,16.438111,16.513443,0.075332,0
/ru/,16.528509,16.664106,0.135597,0
/ku/,16.664106,16.965431,0.301325,0
/nna/,16.8901,17.206492,0.316392,0
/du/,17.206492,17.41742,0.210928,0
