Syllable,Start Time,End Time ,Total Duration,Class
/o/,1.445009,1.583263,0.138254,0
/ka/,1.645848,2.256468,0.61062,6
/U/,2.297671,2.528093,0.230422,0
/ri/,2.528093,2.723952,0.195859,0
/lO/,2.723952,3.31485,0.590898,6
/o/,3.42518,3.505827,0.080647,0
/ka/,3.63256,3.857222,0.224662,0
/brAH/,3.925568,4.276962,0.351394,0
/ma/,4.513145,4.743567,0.230422,0
/Nu/,4.757628,5.080219,0.322591,0
/du/,5.080219,5.414331,0.334112,0
/un/,5.748062,6.03609,0.288028,0
/de/,6.047611,6.399005,0.351394,0
/vA/,6.427808,6.796484,0.368676,0
/du/,6.803245,7.1604,0.357155,0
/a/,7.837882,8.056783,0.218901,0
/thA/,8.2723,8.554568,0.282268,0
/du/,8.554568,9.136384,0.581816,6
/chA/,9.274256,9.717819,0.443563,0
/IA/,9.717819,10.086495,0.368676,0
/kha/,10.293869,10.651023,0.357154,0
/stA/,10.651023,11.186755,0.535732,0
/lu/,11.184372,11.743147,0.558775,6
/ye/,11.909821,12.169046,0.259225,0
/du/,12.169046,12.468595,0.299549,0
/ru/,12.487503,12.740968,0.253465,0
/ku/,12.740364,13.057194,0.31683,0
/nna/,13.051434,13.471955,0.420521,0
/du/,13.471955,13.875194,0.403239,0
