Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.9192,1.20581,0.28661,0
/ka/,1.166727,1.818114,0.651387,0
/U/,1.831142,2.065641,0.234499,0
/ri/,2.065641,2.378307,0.312666,0
/lO/,2.400514,2.739235,0.338721,0
/o/,3.703288,3.911732,0.208444,0
/ka/,3.911732,4.302564,0.390832,0
/brAH/,4.621034,4.998839,0.377805,0
/ma/,4.998839,5.33756,0.338721,0
/Nu/,5.33756,5.493893,0.156333,0
/du/,5.493893,5.871697,0.377804,0
/un/,7.473636,7.721163,0.247527,0
/de/,7.721163,7.903551,0.182388,0
/vA/,7.903551,8.2553,0.351749,0
/du/,8.2553,8.620077,0.364777,0
/a/,10.60225,10.836749,0.234499,0
/thA/,10.836749,10.993082,0.156333,0
/du/,10.993082,11.436025,0.442943,6
/chA/,13.180796,13.480434,0.299638,0
/IA/,13.480434,13.871266,0.390832,0
/kha/,15.408067,20.295898,4.887831,7
/stA/,15.408067,20.295898,4.887831,7
/lu/,15.408067,20.295898,4.887831,7
/ye/,23.078697,23.274113,0.195416,0
/du/,23.274113,23.495585,0.221472,0
/ru/,23.495585,23.547698,0.052113,0
/ku/,23.547698,23.782195,0.234497,0
/nna/,23.782195,23.964584,0.182389,0
/du/,23.964584,24.212111,0.247527,0
