Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.950512,1.213722,0.26321,0
/ka/,1.138519,1.646139,0.50762,6
/U/,1.570936,1.871748,0.300812,0
/ri/,1.871748,2.059755,0.188007,0
/lO/,2.059755,2.604977,0.545222,0
/o/,3.281803,3.582615,0.300812,0
/ka/,3.582615,3.921029,0.338414,0
/brAH/,5.998319,8.960347,2.962028,4
/ma/,5.998319,8.960347,2.962028,4
/Nu/,8.960347,9.073152,0.112805,0
/du/,9.073152,9.618373,0.545221,0
/un/,10.255935,10.623043,0.367108,0
/de/,10.623043,10.872153,0.24911,0
/vA/,10.872153,11.213039,0.340886,0
/du/,11.213039,11.462149,0.24911,0
/a/,12.66728,12.903278,0.235998,0
/thA/,12.903278,13.113054,0.209776,0
/du/,13.126165,13.624384,0.498219,0
/chA/,13.866397,14.160853,0.294456,0
/IA/,14.173964,14.423074,0.24911,0
/kha/,16.689115,16.964446,0.275331,0
/stA/,16.964446,17.292222,0.327776,0
/lu/,17.292222,17.764219,0.471997,0
/ye/,19.804365,22.490642,2.686277,3
/du/,19.804365,22.490642,2.686277,3
/ru/,19.804365,22.490642,2.686277,3
/ku/,22.490642,22.765974,0.275332,0
/nna/,22.765974,22.97575,0.209776,0
/du/,22.97575,23.264193,0.288443,0
