Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.54021,0.710416,0.170206,0
/ka/,0.847412,1.113099,0.265687,0
/U/,1.249167,1.523158,0.273991,0
/ri/,1.540965,1.715323,0.174358,0
/lO/,1.711172,2.018373,0.307201,0
/o/,2.018373,2.155368,0.136995,0
/ka/,2.155368,2.417626,0.262258,0
/brAH/,2.417626,2.720676,0.30305,0
/ma/,2.709425,3.211741,0.502316,0
/Nu/,3.207589,3.327979,0.12039,0
/du/,3.324309,3.519423,0.195114,0
/un/,3.670315,3.931852,0.261537,0
/de/,3.931852,4.156026,0.224174,0
/vA/,4.156026,4.492768,0.336742,0
/du/,4.484465,4.692033,0.207568,0
/a/,4.875896,5.158189,0.282293,0
/thA/,5.158189,5.386515,0.228326,0
/du/,5.383566,5.624345,0.240779,0
/chA/,5.611891,6.027028,0.415137,0
/IA/,6.019447,6.260227,0.24078,0
/kha/,6.268529,6.447038,0.178509,0
/stA/,6.567909,6.862656,0.294747,0
/lu/,6.862656,6.971313,0.108657,0
/ye/,7.229901,7.383502,0.153601,0
/du/,7.383502,7.537102,0.1536,0
/ru/,7.532951,7.694854,0.161903,0
/ku/,7.799601,7.97811,0.178509,0
/nna/,7.97811,8.247949,0.269839,0
/du/,8.247949,8.508808,0.260859,0
