Syllable,Start Time,End Time ,Total Duration,Class
/o/,1.169288,1.528858,0.35957,0
/ka/,1.534543,1.81715,0.282607,0
/U/,1.823431,2.087197,0.263766,0
/ri/,2.087197,2.343056,0.255859,0
/lO/,2.343056,2.701025,0.357969,0
/o/,2.876056,3.114702,0.238646,0
/ka/,3.239084,3.546812,0.307728,0
/brAH/,3.816859,4.199949,0.38309,0
/ma/,4.199949,4.531983,0.332034,0
/Nu/,4.531983,4.707014,0.175031,0
/du/,4.719574,5.134065,0.414491,0
/un/,5.283974,5.51634,0.232366,0
/de/,5.522621,5.780107,0.257486,0
/vA/,5.780107,6.124702,0.344595,0
/du/,6.116794,6.499884,0.38309,0
/a/,6.774066,7.055472,0.281406,0
/thA/,7.055472,7.268457,0.212985,0
/du/,7.340865,7.716073,0.375208,0
/chA/,7.723541,8.084318,0.360777,0
/IA/,8.080711,8.607698,0.526987,0
/kha/,10.607443,10.96723,0.359787,0
/stA/,10.96723,11.204689,0.237459,0
/lu/,11.204689,11.672412,0.467723,6
/ye/,13.730995,14.004433,0.273438,0
/du/,14.004433,14.299458,0.295025,0
/ru/,14.299458,14.37235,0.072892,0
/ku/,14.37235,14.588222,0.215872,0
/nna/,14.588222,14.926422,0.3382,0
/du/,14.926422,15.266961,0.340539,0
