Syllable,Start Time,End Time ,Total Duration,Class
/o/,1.073308,1.451587,0.378279,0
/ka/,1.44299,1.890048,0.447058,0
/U/,1.872853,2.216744,0.343891,0
/ri/,2.216744,2.474662,0.257918,0
/lO/,2.456241,2.860312,0.404071,0
/o/,2.857858,3.141568,0.28371,0
/ka/,3.115776,3.442472,0.326696,0
/brAH/,3.390889,3.846544,0.455655,0
/ma/,3.846544,4.130254,0.28371,0
/Nu/,4.157275,4.483972,0.326697,0
/du/,4.483972,4.948224,0.464252,0
/un/,4.949454,5.310539,0.361085,0
/de/,5.310539,5.697416,0.386877,0
/vA/,5.698646,6.171496,0.47285,0
/du/,6.171496,6.609956,0.43846,0
/a/,7.350551,9.719716,2.369165,4
/thA/,7.350551,9.719716,2.369165,4
/du/,7.350551,9.719716,2.369165,4
/chA/,9.720946,10.193795,0.472849,0
/IA/,10.193795,10.675242,0.481447,0
/kha/,11.026503,11.258629,0.232126,0
/stA/,11.258629,11.731479,0.47285,0
/lu/,11.731479,12.227507,0.496028,0
/ye/,12.21891,12.554203,0.335293,0
/du/,12.554206,12.820722,0.266516,0
/ru/,12.820722,13.17321,0.352488,0
/ku/,13.17321,13.671851,0.498641,0
/nna/,13.654656,14.136103,0.481447,0
/du/,14.149614,14.691242,0.541628,0
