Syllable,Start Time,End Time ,Total Duration,Class
/o/,2.41,4.116,1.706,3
/ka/,2.41,4.116,1.706,3
/U/,4.086,4.505,0.419,0
/ri/,4.505,4.804,0.299,0
/lO/,4.804,5.163,0.359,0
/o/,6.121,6.42,0.299,0
/ka/,6.42,6.689,0.269,0
/brAH/,6.689,7.048,0.359,0
/ma/,7.048,7.437,0.389,0
/Nu/,7.437,7.617,0.18,0
/du/,7.617,7.796,0.179,0
/un/,7.796,8.215,0.419,0
/de/,8.874,9.92,1.046,0
/vA/,9.233,9.652,0.419,0
/du/,9.652,10.13,0.478,0
/a/,10.49,10.789,0.299,0
/thA/,10.789,11.118,0.329,0
/du/,11.118,11.567,0.449,0
/chA/,11.567,11.986,0.419,0
/IA/,11.986,12.346,0.36,0
/kha/,12.375,12.584,0.209,0
/stA/,12.614,12.913,0.299,0
/lu/,12.913,113.362,100.449,0
/ye/,13.362,13.691,0.329,6
/du/,13.691,13.901,0.21,6
/ru/,13.691,13.901,0.21,0
/ku/,13.841,14.23,0.389,0
/nna/,14.23,14.589,0.359,0
/du/,14.589,15.008,0.419,0
