Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.381,2.568,2.187,3
/ka/,0.381,2.568,2.187,3
/U/,0.381,2.568,2.187,3
/ri/,2.568,3.033,0.465,0
/lO/,3.033,3.329,0.296,0
/o/,3.329,3.583,0.254,0
/ka/,3.583,3.794,0.211,0
/brAH/,3.794,4.132,0.338,0
/ma/,4.132,4.428,0.296,0
/Nu/,4.428,4.64,0.212,0
/du/,4.64,4.872,0.232,0
/un/,4.872,5.147,0.275,0
/de/,5.147,5.464,0.317,0
/vA/,5.464,5.802,0.338,0
/du/,5.802,6.055,0.253,0
/a/,6.33,6.626,0.296,0
/thA/,6.626,6.901,0.275,0
/du/,6.859,7.133,0.274,0
/chA/,7.154,7.514,0.36,0
/IA/,7.514,7.788,0.274,0
/kha/,7.873,8.042,0.169,0
/stA/,8.042,8.465,0.423,0
/lu/,8.465,8.803,0.338,0
/ye/,9.268,9.543,0.275,0
/du/,9.543,9.669,0.126,0
/ru/,9.669,9.86,0.191,0
/ku/,9.86,10.13,0.27,0
/nna/,10.134,10.451,0.317,0
/du/,10.451,10.684,0.233,0
