Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.928953,1.328826,0.399873,0
/ka/,1.330343,1.777569,0.447226,0
/U/,2.066886,2.515571,0.448685,0
/ri/,2.515571,2.814694,0.299123,0
/lO/,2.795999,3.581197,0.785198,6
/o/,3.5846,3.995894,0.411294,0
/ka/,4.014589,4.538055,0.523466,0
/brAH/,4.55675,5.005434,0.448684,0
/ma/,5.005434,5.304557,0.299123,0
/Nu/,5.304557,5.56629,0.261733,0
/du/,5.547595,6.127146,0.579551,0
/un/,6.671781,6.970904,0.299123,0
/de/,6.970904,7.195246,0.224342,0
/vA/,7.195246,7.587845,0.392599,0
/du/,7.587845,8.017835,0.42999,0
/a/,8.022084,8.352544,0.33046,0
/thA/,8.352544,8.778944,0.4264,0
/du/,8.810924,9.333264,0.52234,0
/chA/,9.333264,9.790823,0.457559,0
/IA/,9.790823,10.185243,0.39442,0
/kha/,10.493972,10.792452,0.29848,0
/stA/,10.792452,11.400072,0.60762,0
/lu/,11.400072,11.655912,0.25584,0
/ye/,11.930181,12.227141,0.29696,0
/du/,12.227141,12.375622,0.148481,0
/ru/,12.383436,12.508472,0.125036,0
/ku/,12.508472,12.617879,0.109407,0
/nna/,12.617879,12.969542,0.351663,0
/du/,12.969542,13.258688,0.289146,0
