Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.788952,1.041252,0.2523,0
/ka/,1.086306,1.681012,0.594706,6
/U/,2.013355,2.265655,0.2523,0
/ri/,2.265655,2.544987,0.279332,0
/lO/,2.544987,2.941458,0.396471,0
/o/,3.434413,3.686713,0.2523,0
/ka/,3.686713,4.065163,0.37845,6
/brAH/,4.482844,4.726133,0.243289,0
/ma/,4.726133,5.203701,0.477568,0
/Nu/,5.203701,5.374904,0.171203,0
/du/,5.374904,5.618193,0.243289,0
/un/,6.10796,6.540474,0.432514,0
/de/,6.540474,6.792774,0.2523,0
/vA/,6.792774,7.162213,0.369439,0
/du/,7.153202,7.707876,0.554674,0
/a/,8.4709,8.786275,0.315375,0
/thA/,8.786275,9.119672,0.333397,0
/du/,9.105365,9.573922,0.468557,0
/chA/,10.086479,10.464929,0.37845,0
/IA/,10.455918,10.906454,0.450536,0
/kha/,11.269543,11.539865,0.270322,0
/stA/,11.539865,12.008422,0.468557,0
/lu/,11.9904,12.603129,0.612729,0
/ye/,12.664623,12.943955,0.279332,0
/du/,12.88088,13.025051,0.144171,0
/ru/,13.025051,13.223287,0.198236,0
/ku/,13.226166,13.577584,0.351418,0
/nna/,13.577584,13.892958,0.315374,0
/du/,13.892958,14.514698,0.62174,0
