Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.498245,0.715856,0.217611,0
/ka/,0.715856,0.973033,0.257177,0
/U/,0.959845,1.269776,0.309931,0
/ri/,1.269776,1.457918,0.188142,0
/lO/,1.451324,1.67553,0.224206,0
/o/,1.596398,1.820604,0.224206,0
/ka/,1.820604,2.04481,0.224206,0
/brAH/,2.004872,2.354369,0.349497,0
/ma/,2.453283,2.6643,0.211017,0
/Nu/,2.6643,2.782997,0.118697,0
/du/,2.782997,2.972705,0.189708,0
/un/,2.972705,3.216693,0.243988,0
/de/,3.216693,3.447493,0.2308,0
/vA/,3.440899,3.599162,0.158263,0
/du/,3.599162,3.909093,0.309931,0
/a/,4.347446,4.578246,0.2308,0
/thA/,4.578246,4.809046,0.2308,0
/du/,4.809046,5.013469,0.204423,0
/chA/,5.013469,5.283834,0.270365,0
/IA/,5.283834,5.44188,0.158046,0
/kha/,5.4456,5.656617,0.211017,0
/stA/,5.650022,5.933576,0.283554,0
/lu/,5.933576,6.243508,0.309932,0
/ye/,6.436238,6.640661,0.204423,0
/du/,6.640661,6.772546,0.131885,0
/ru/,6.772546,6.884649,0.112103,0
/ku/,6.890089,7.094512,0.204423,0
/nna/,7.094512,7.265963,0.171451,0
/du/,7.265963,7.483574,0.217611,0
