Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.976264,1.151783,0.175518,0
/ka/,1.152288,1.584288,0.432,0
/U/,2.048882,2.341414,0.292532,0
/ri/,2.341414,2.575439,0.234025,0
/lO/,2.575439,3,0.424561,0
/o/,3.160504,3.355525,0.195021,0
/ka/,3.355525,3.531044,0.175519,0
/brAH/,3.531044,3.921087,0.390043,0
/ma/,3.921087,4.096606,0.175519,0
/Nu/,4.096606,4.272126,0.17552,0
/du/,4.272126,4.681671,0.409545,6
/un/,5.208228,5.461756,0.253528,0
/de/,5.481258,5.617773,0.136515,0
/vA/,5.617773,5.988314,0.370541,0
/du/,5.988314,6.339352,0.351038,0
/a/,7.197446,8.77712,1.579674,3
/thA/,7.197446,8.77712,1.579674,3
/du/,7.197446,8.77712,1.579674,3
/chA/,8.855128,9.167163,0.312035,0
/IA/,9.167163,9.537703,0.37054,0
/kha/,9.849737,9.986252,0.136515,0
/stA/,9.986252,10.376295,0.390043,0
/lu/,10.376295,10.746836,0.370541,0
/ye/,11.05887,13.204105,2.145235,3
/du/,11.05887,13.204105,2.145235,3
/ru/,11.05887,13.204105,2.145235,3
/ku/,13.204105,13.36022,0.156115,0
/nna/,13.36022,13.691659,0.331439,0
/du/,13.691659,13.925684,0.234025,0
